from,to
T Spawn,Outside Tunnels
T Spawn,Outside Long
T Spawn,Mid
Outside Tunnels,Upper B
Outside Tunnels,T Spawn
Upper B,Lower B
Upper B,B Site
Upper B,Outside Tunnels
Lower B,Mid
Lower B,Upper B
Mid,Lower B
Mid,Catwalk
Mid,CT Mid
Catwalk,Short A
Catwalk,Mid
Short A,A Plat
Short A,CT Spawn
A Plat,Short A
A Plat,Long A
Long A,Pit
Long A,A Plat
Long A,CT Spawn
Pit,Long A
CT Spawn,CT Mid
CT Spawn,Short A
CT Spawn,Long A
CT Mid,B Doors
CT Mid,Mid
CT Mid,CT Spawn
B Doors,CT Mid
B Doors,B Site
B Site,Upper B
B Site,B Doors
Outside Long,Long Doors
Outside Long,T Spawn
Long Doors,Outside Long
Long Doors,Long A
