from,to,count,probability
doubledoors,outside_long_doors,77,0.5703703703703704
doubledoors,t_spawn,11,0.08148148148148149
doubledoors,mid,24,0.17777777777777778
doubledoors,outside_tunnels,8,0.05925925925925926
doubledoors,upper_mid,6,0.044444444444444446
doubledoors,upper_tunnels,7,0.05185185185185185
doubledoors,long_A,1,0.007407407407407408
doubledoors,catwalk,1,0.007407407407407408
outside_long_doors,t_spawn,187,0.46867167919799496
outside_long_doors,mid,90,0.22556390977443608
outside_long_doors,outside_tunnels,14,0.03508771929824561
outside_long_doors,upper_mid,12,0.03007518796992481
outside_long_doors,upper_tunnels,17,0.042606516290726815
outside_long_doors,doubledoors,29,0.07268170426065163
outside_long_doors,suicide,41,0.10275689223057644
outside_long_doors,long_A,5,0.012531328320802004
outside_long_doors,catwalk,4,0.010025062656641603
t_spawn,outside_long_doors,159,0.3225152129817444
t_spawn,outside_tunnels,265,0.537525354969574
t_spawn,doubledoors,52,0.10547667342799188
t_spawn,mid,9,0.018255578093306288
t_spawn,suicide,8,0.016227180527383367
mid,upper_tunnels,63,0.3181818181818182
mid,outside_long_doors,22,0.1111111111111111
mid,outside_tunnels,82,0.41414141414141414
mid,t_spawn,15,0.07575757575757576
mid,suicide,8,0.04040404040404041
mid,doubledoors,5,0.025252525252525252
mid,long_A,2,0.010101010101010102
mid,upper_mid,1,0.005050505050505051
upper_tunnels,outside_long_doors,40,0.21739130434782608
upper_tunnels,outside_tunnels,114,0.6195652173913043
upper_tunnels,mid,11,0.059782608695652176
upper_tunnels,doubledoors,17,0.09239130434782608
upper_tunnels,t_spawn,1,0.005434782608695652
upper_tunnels,upper_mid,1,0.005434782608695652
outside_tunnels,upper_tunnels,87,0.16666666666666666
outside_tunnels,outside_long_doors,63,0.1206896551724138
outside_tunnels,t_spawn,287,0.5498084291187739
outside_tunnels,mid,51,0.09770114942528736
outside_tunnels,doubledoors,18,0.034482758620689655
outside_tunnels,suicide,16,0.03065134099616858
upper_mid,upper_tunnels,8,0.4
upper_mid,outside_long_doors,4,0.2
upper_mid,outside_tunnels,2,0.1
upper_mid,t_spawn,1,0.05
upper_mid,mid,4,0.2
upper_mid,doubledoors,1,0.05
suicide,t_spawn,17,0.22972972972972974
suicide,mid,10,0.13513513513513514
suicide,outside_long_doors,21,0.28378378378378377
suicide,outside_tunnels,18,0.24324324324324326
suicide,doubledoors,6,0.08108108108108109
suicide,upper_tunnels,2,0.02702702702702703
long_A,doubledoors,2,0.25
long_A,upper_tunnels,1,0.125
long_A,outside_long_doors,2,0.25
long_A,outside_tunnels,2,0.25
long_A,mid,1,0.125
catwalk,upper_tunnels,2,0.4
catwalk,outside_long_doors,1,0.2
catwalk,suicide,1,0.2
catwalk,t_spawn,1,0.2
