from,to
doubledoors,outside_long_doors
doubledoors,t_spawn
doubledoors,mid
doubledoors,outside_tunnels
doubledoors,upper_mid
doubledoors,upper_tunnels
doubledoors,long_A
doubledoors,catwalk
outside_long_doors,t_spawn
outside_long_doors,mid
outside_long_doors,outside_tunnels
outside_long_doors,upper_mid
outside_long_doors,upper_tunnels
outside_long_doors,doubledoors
outside_long_doors,suicide
outside_long_doors,long_A
outside_long_doors,catwalk
t_spawn,outside_long_doors
t_spawn,outside_tunnels
t_spawn,doubledoors
t_spawn,mid
t_spawn,suicide
mid,upper_tunnels
mid,outside_long_doors
mid,outside_tunnels
mid,t_spawn
mid,suicide
mid,doubledoors
mid,long_A
mid,upper_mid
upper_tunnels,outside_long_doors
upper_tunnels,outside_tunnels
upper_tunnels,mid
upper_tunnels,doubledoors
upper_tunnels,t_spawn
upper_tunnels,upper_mid
outside_tunnels,upper_tunnels
outside_tunnels,outside_long_doors
outside_tunnels,t_spawn
outside_tunnels,mid
outside_tunnels,doubledoors
outside_tunnels,suicide
upper_mid,upper_tunnels
upper_mid,outside_long_doors
upper_mid,outside_tunnels
upper_mid,t_spawn
upper_mid,mid
upper_mid,doubledoors
suicide,t_spawn
suicide,mid
suicide,outside_long_doors
suicide,outside_tunnels
suicide,doubledoors
suicide,upper_tunnels
long_A,doubledoors
long_A,upper_tunnels
long_A,outside_long_doors
long_A,outside_tunnels
long_A,mid
catwalk,upper_tunnels
catwalk,outside_long_doors
catwalk,suicide
catwalk,t_spawn
