from,to,count,probability
outside_tunnels,t_spawn,72,0.5669291338582677
outside_tunnels,upper_tunnels,24,0.1889763779527559
outside_tunnels,mid,9,0.07086614173228346
outside_tunnels,outside_long_doors,13,0.10236220472440945
outside_tunnels,suicide,5,0.03937007874015748
outside_tunnels,doubledoors,4,0.031496062992125984
t_spawn,outside_tunnels,70,0.5426356589147286
t_spawn,outside_long_doors,43,0.3333333333333333
t_spawn,doubledoors,14,0.10852713178294573
t_spawn,suicide,2,0.015503875968992248
upper_tunnels,outside_tunnels,28,0.6829268292682927
upper_tunnels,mid,3,0.07317073170731707
upper_tunnels,doubledoors,2,0.04878048780487805
upper_tunnels,outside_long_doors,7,0.17073170731707318
upper_tunnels,t_spawn,1,0.024390243902439025
mid,outside_tunnels,18,0.4090909090909091
mid,outside_long_doors,3,0.06818181818181818
mid,upper_tunnels,12,0.2727272727272727
mid,t_spawn,5,0.11363636363636363
mid,suicide,3,0.06818181818181818
mid,doubledoors,2,0.045454545454545456
mid,long_A,1,0.022727272727272728
outside_long_doors,doubledoors,8,0.08602150537634409
outside_long_doors,mid,24,0.25806451612903225
outside_long_doors,t_spawn,42,0.45161290322580644
outside_long_doors,suicide,12,0.12903225806451613
outside_long_doors,upper_tunnels,1,0.010752688172043012
outside_long_doors,outside_tunnels,2,0.021505376344086023
outside_long_doors,long_A,1,0.010752688172043012
outside_long_doors,upper_mid,2,0.021505376344086023
outside_long_doors,catwalk,1,0.010752688172043012
doubledoors,outside_tunnels,1,0.03125
doubledoors,mid,7,0.21875
doubledoors,outside_long_doors,21,0.65625
doubledoors,t_spawn,2,0.0625
doubledoors,upper_tunnels,1,0.03125
suicide,outside_tunnels,5,0.22727272727272727
suicide,t_spawn,9,0.4090909090909091
suicide,mid,1,0.045454545454545456
suicide,outside_long_doors,4,0.18181818181818182
suicide,doubledoors,2,0.09090909090909091
suicide,upper_tunnels,1,0.045454545454545456
long_A,outside_long_doors,1,0.5
long_A,outside_tunnels,1,0.5
upper_mid,upper_tunnels,1,0.5
upper_mid,t_spawn,1,0.5
catwalk,upper_tunnels,1,1.0
