from,to
outside_tunnels,t_spawn
outside_tunnels,upper_tunnels
outside_tunnels,mid
outside_tunnels,outside_long_doors
outside_tunnels,suicide
outside_tunnels,doubledoors
t_spawn,outside_tunnels
t_spawn,outside_long_doors
t_spawn,doubledoors
t_spawn,suicide
upper_tunnels,outside_tunnels
upper_tunnels,mid
upper_tunnels,doubledoors
upper_tunnels,outside_long_doors
upper_tunnels,t_spawn
mid,outside_tunnels
mid,outside_long_doors
mid,upper_tunnels
mid,t_spawn
mid,suicide
mid,doubledoors
mid,long_A
outside_long_doors,doubledoors
outside_long_doors,mid
outside_long_doors,t_spawn
outside_long_doors,suicide
outside_long_doors,upper_tunnels
outside_long_doors,outside_tunnels
outside_long_doors,long_A
outside_long_doors,upper_mid
outside_long_doors,catwalk
doubledoors,outside_tunnels
doubledoors,mid
doubledoors,outside_long_doors
doubledoors,t_spawn
doubledoors,upper_tunnels
suicide,outside_tunnels
suicide,t_spawn
suicide,mid
suicide,outside_long_doors
suicide,doubledoors
suicide,upper_tunnels
long_A,outside_long_doors
long_A,outside_tunnels
upper_mid,upper_tunnels
upper_mid,t_spawn
catwalk,upper_tunnels
