from,to,count,probability
outside_tunnels,suicide,88,0.04170616113744076
outside_tunnels,upper_tunnels,280,0.13270142180094788
outside_tunnels,t_spawn,1244,0.5895734597156398
outside_tunnels,mid,174,0.08246445497630332
outside_tunnels,doubledoors,93,0.04407582938388625
outside_tunnels,outside_long_doors,230,0.10900473933649289
outside_tunnels,long_A,1,0.00047393364928909954
suicide,mid,11,0.04583333333333333
suicide,outside_tunnels,98,0.4083333333333333
suicide,t_spawn,38,0.15833333333333333
suicide,outside_long_doors,65,0.2708333333333333
suicide,doubledoors,26,0.10833333333333334
suicide,upper_tunnels,2,0.008333333333333333
mid,outside_tunnels,241,0.43423423423423424
mid,doubledoors,37,0.06666666666666667
mid,suicide,21,0.03783783783783784
mid,outside_long_doors,90,0.16216216216216217
mid,t_spawn,75,0.13513513513513514
mid,upper_tunnels,86,0.15495495495495495
mid,long_A,3,0.005405405405405406
mid,lower_tunnels,1,0.0018018018018018018
mid,upper_mid,1,0.0018018018018018018
upper_tunnels,outside_tunnels,250,0.4826254826254826
upper_tunnels,doubledoors,60,0.11583011583011583
upper_tunnels,outside_long_doors,144,0.277992277992278
upper_tunnels,t_spawn,28,0.05405405405405406
upper_tunnels,suicide,4,0.007722007722007722
upper_tunnels,mid,28,0.05405405405405406
upper_tunnels,upper_mid,3,0.005791505791505791
upper_tunnels,catwalk,1,0.0019305019305019305
t_spawn,outside_tunnels,1224,0.5413533834586466
t_spawn,outside_long_doors,698,0.3087129588677576
t_spawn,doubledoors,280,0.1238390092879257
t_spawn,suicide,14,0.006191950464396285
t_spawn,mid,22,0.009730207872622734
t_spawn,upper_tunnels,20,0.008845643520566122
t_spawn,long_A,2,0.0008845643520566122
t_spawn,catwalk,1,0.0004422821760283061
doubledoors,outside_tunnels,57,0.09090909090909091
doubledoors,t_spawn,158,0.25199362041467305
doubledoors,upper_mid,5,0.007974481658692184
doubledoors,mid,72,0.11483253588516747
doubledoors,outside_long_doors,276,0.44019138755980863
doubledoors,upper_tunnels,36,0.05741626794258373
doubledoors,suicide,19,0.030303030303030304
doubledoors,catwalk,3,0.004784688995215311
doubledoors,long_A,1,0.001594896331738437
outside_long_doors,t_spawn,793,0.5076824583866837
outside_long_doors,suicide,105,0.06722151088348272
outside_long_doors,upper_tunnels,94,0.06017925736235595
outside_long_doors,mid,254,0.16261203585147246
outside_long_doors,doubledoors,101,0.0646606914212548
outside_long_doors,outside_tunnels,176,0.11267605633802817
outside_long_doors,long_A,14,0.008962868117797696
outside_long_doors,upper_mid,18,0.011523687580025609
outside_long_doors,catwalk,7,0.004481434058898848
upper_mid,upper_tunnels,10,0.35714285714285715
upper_mid,mid,3,0.10714285714285714
upper_mid,outside_tunnels,4,0.14285714285714285
upper_mid,doubledoors,4,0.14285714285714285
upper_mid,t_spawn,3,0.10714285714285714
upper_mid,outside_long_doors,3,0.10714285714285714
upper_mid,catwalk,1,0.03571428571428571
long_A,t_spawn,1,0.045454545454545456
long_A,outside_tunnels,7,0.3181818181818182
long_A,outside_long_doors,10,0.45454545454545453
long_A,doubledoors,2,0.09090909090909091
long_A,catwalk,1,0.045454545454545456
long_A,suicide,1,0.045454545454545456
catwalk,upper_tunnels,3,0.21428571428571427
catwalk,outside_tunnels,3,0.21428571428571427
catwalk,suicide,1,0.07142857142857142
catwalk,t_spawn,1,0.07142857142857142
catwalk,outside_long_doors,3,0.21428571428571427
catwalk,doubledoors,2,0.14285714285714285
catwalk,upper_mid,1,0.07142857142857142
lower_tunnels,outside_tunnels,1,1.0
