from,to,count,probability
outside_tunnels,t_spawn,228,0.10619469026548672
outside_tunnels,outside_long_doors,214,0.09967396367023754
outside_tunnels,long_A,97,0.04517931998136935
outside_tunnels,upper_tunnels,504,0.23474615742897065
outside_tunnels,lower_tunnels,175,0.0815090824406148
outside_tunnels,short_A,213,0.09920819748486259
outside_tunnels,catwalk,80,0.037261294829995344
outside_tunnels,bombsite_B,162,0.07545412203074056
outside_tunnels,ct_spawn,116,0.05402887750349324
outside_tunnels,doubledoors,87,0.04052165812761994
outside_tunnels,suicide,69,0.03213786679087098
outside_tunnels,ct_mid,61,0.02841173730787145
outside_tunnels,mid,40,0.018630647414997672
outside_tunnels,upper_mid,31,0.014438751746623195
outside_tunnels,car,10,0.004657661853749418
outside_tunnels,bombsite_A,34,0.015836050302748022
outside_tunnels,ramp,14,0.006520726595249185
outside_tunnels,elevator,6,0.0027945971122496508
outside_tunnels,elbow,6,0.0027945971122496508
t_spawn,catwalk,225,0.04581551618814905
t_spawn,short_A,522,0.1062919975565058
t_spawn,outside_long_doors,580,0.11810221950722867
t_spawn,upper_tunnels,856,0.17430258603135818
t_spawn,bombsite_B,303,0.06169822846670739
t_spawn,ct_mid,169,0.03441254327020973
t_spawn,lower_tunnels,333,0.0678069639584606
t_spawn,outside_tunnels,206,0.041946650376705356
t_spawn,doubledoors,355,0.07228670331907962
t_spawn,upper_mid,135,0.02748930971288943
t_spawn,mid,140,0.0285074322948483
t_spawn,long_A,487,0.09916513948279373
t_spawn,suicide,272,0.05538586845856241
t_spawn,ct_spawn,103,0.020973325188352678
t_spawn,bombsite_A,102,0.020769700671960906
t_spawn,car,46,0.009366727754021585
t_spawn,ramp,49,0.009977601303196904
t_spawn,elevator,15,0.0030543677458766036
t_spawn,elbow,13,0.0026471187130930563
catwalk,bombsite_B,44,0.06758832565284179
catwalk,t_spawn,166,0.25499231950844853
catwalk,short_A,94,0.1443932411674347
catwalk,ct_spawn,134,0.20583717357910905
catwalk,lower_tunnels,19,0.029185867895545316
catwalk,ct_mid,67,0.10291858678955453
catwalk,outside_tunnels,73,0.11213517665130568
catwalk,ramp,2,0.0030721966205837174
catwalk,bombsite_A,13,0.019969278033794162
catwalk,elevator,3,0.004608294930875576
catwalk,long_A,10,0.015360983102918587
catwalk,doubledoors,4,0.006144393241167435
catwalk,elbow,7,0.010752688172043012
catwalk,upper_mid,2,0.0030721966205837174
catwalk,suicide,2,0.0030721966205837174
catwalk,upper_tunnels,7,0.010752688172043012
catwalk,outside_long_doors,1,0.0015360983102918587
catwalk,mid,1,0.0015360983102918587
catwalk,car,2,0.0030721966205837174
bombsite_B,t_spawn,891,0.2477753058954394
bombsite_B,outside_tunnels,390,0.10845383759733036
bombsite_B,ct_mid,404,0.11234705228031146
bombsite_B,ct_spawn,1591,0.4424360400444939
bombsite_B,suicide,5,0.0013904338153503894
bombsite_B,upper_tunnels,78,0.021690767519466074
bombsite_B,elbow,12,0.0033370411568409346
