from,to
outside_tunnels,t_spawn
outside_tunnels,outside_long_doors
outside_tunnels,long_A
outside_tunnels,upper_tunnels
outside_tunnels,lower_tunnels
outside_tunnels,short_A
outside_tunnels,catwalk
outside_tunnels,bombsite_B
outside_tunnels,ct_spawn
outside_tunnels,doubledoors
outside_tunnels,suicide
outside_tunnels,ct_mid
outside_tunnels,mid
outside_tunnels,upper_mid
outside_tunnels,car
outside_tunnels,bombsite_A
outside_tunnels,ramp
outside_tunnels,elevator
outside_tunnels,elbow
t_spawn,catwalk
t_spawn,short_A
t_spawn,outside_long_doors
t_spawn,upper_tunnels
t_spawn,bombsite_B
t_spawn,ct_mid
t_spawn,lower_tunnels
t_spawn,outside_tunnels
t_spawn,doubledoors
t_spawn,upper_mid
t_spawn,mid
t_spawn,long_A
t_spawn,suicide
t_spawn,ct_spawn
t_spawn,bombsite_A
t_spawn,car
t_spawn,ramp
t_spawn,elevator
t_spawn,elbow
catwalk,bombsite_B
catwalk,t_spawn
catwalk,short_A
catwalk,ct_spawn
catwalk,lower_tunnels
catwalk,ct_mid
catwalk,outside_tunnels
catwalk,ramp
catwalk,bombsite_A
catwalk,elevator
catwalk,long_A
catwalk,doubledoors
catwalk,elbow
catwalk,upper_mid
catwalk,suicide
catwalk,upper_tunnels
catwalk,outside_long_doors
catwalk,mid
catwalk,car
bombsite_B,t_spawn
bombsite_B,outside_tunnels
bombsite_B,ct_mid
bombsite_B,ct_spawn
bombsite_B,suicide
bombsite_B,upper_tunnels
bombsite_B,elbow
bombsite_B,short_A
bombsite_B,outside_long_doors
bombsite_B,elevator
bombsite_B,mid
bombsite_B,ramp
bombsite_B,bombsite_A
bombsite_B,lower_tunnels
bombsite_B,catwalk
bombsite_B,car
bombsite_B,long_A
bombsite_B,doubledoors
bombsite_B,upper_mid
short_A,ct_spawn
short_A,t_spawn
short_A,upper_tunnels
short_A,outside_tunnels
short_A,bombsite_A
short_A,long_A
short_A,bombsite_B
short_A,elbow
short_A,car
short_A,ct_mid
short_A,ramp
short_A,catwalk
short_A,elevator
short_A,lower_tunnels
short_A,mid
short_A,outside_long_doors
short_A,doubledoors
short_A,suicide
short_A,upper_mid
ct_spawn,t_spawn
ct_spawn,long_A
ct_spawn,bombsite_A
ct_spawn,elevator
ct_spawn,upper_tunnels
ct_spawn,doubledoors
ct_spawn,ct_mid
ct_spawn,car
ct_spawn,lower_tunnels
ct_spawn,ramp
ct_spawn,elbow
ct_spawn,bombsite_B
ct_spawn,short_A
ct_spawn,outside_tunnels
ct_spawn,catwalk
ct_spawn,upper_mid
ct_spawn,outside_long_doors
ct_spawn,mid
ct_spawn,suicide
outside_long_doors,long_A
outside_long_doors,doubledoors
outside_long_doors,bombsite_B
outside_long_doors,short_A
outside_long_doors,outside_tunnels
outside_long_doors,catwalk
outside_long_doors,ct_mid
outside_long_doors,elevator
outside_long_doors,t_spawn
outside_long_doors,car
outside_long_doors,ct_spawn
outside_long_doors,lower_tunnels
outside_long_doors,upper_mid
outside_long_doors,upper_tunnels
outside_long_doors,bombsite_A
outside_long_doors,elbow
outside_long_doors,mid
outside_long_doors,ramp
long_A,t_spawn
long_A,ct_spawn
long_A,doubledoors
long_A,lower_tunnels
long_A,ct_mid
