from,to,count,probability
outside_tunnels,suicide,164,0.03999024628139478
outside_tunnels,upper_tunnels,525,0.12801755669348938
outside_tunnels,t_spawn,2418,0.5896122896854425
outside_tunnels,mid,349,0.08510119483052914
outside_tunnels,doubledoors,189,0.046086320409656184
outside_tunnels,outside_long_doors,455,0.11094854913435748
outside_tunnels,long_A,1,0.000243842965130456
suicide,mid,25,0.061124694376528114
suicide,outside_tunnels,166,0.4058679706601467
suicide,t_spawn,49,0.1198044009779951
suicide,outside_long_doors,125,0.3056234718826406
suicide,doubledoors,42,0.10268948655256724
suicide,upper_tunnels,2,0.004889975550122249
mid,outside_tunnels,463,0.4434865900383142
mid,doubledoors,72,0.06896551724137931
mid,suicide,30,0.028735632183908046
mid,outside_long_doors,173,0.1657088122605364
mid,t_spawn,127,0.12164750957854406
mid,upper_tunnels,174,0.16666666666666666
mid,long_A,3,0.0028735632183908046
mid,lower_tunnels,1,0.0009578544061302681
mid,upper_mid,1,0.0009578544061302681
upper_tunnels,outside_tunnels,468,0.4722502522704339
upper_tunnels,doubledoors,112,0.11301715438950555
upper_tunnels,outside_long_doors,297,0.29969727547931385
upper_tunnels,t_spawn,55,0.055499495459132187
upper_tunnels,suicide,4,0.004036326942482341
upper_tunnels,mid,50,0.050454086781029264
upper_tunnels,upper_mid,4,0.004036326942482341
upper_tunnels,catwalk,1,0.0010090817356205853
t_spawn,outside_tunnels,2336,0.5411165160991429
t_spawn,outside_long_doors,1324,0.30669446374797316
t_spawn,doubledoors,557,0.1290247857308316
t_spawn,suicide,18,0.004169562195969423
t_spawn,mid,41,0.009497336113041464
t_spawn,long_A,8,0.001853138753764188
t_spawn,upper_tunnels,30,0.006949270326615705
t_spawn,catwalk,3,0.0006949270326615705
doubledoors,outside_tunnels,119,0.09690553745928339
doubledoors,t_spawn,344,0.28013029315960913
doubledoors,upper_mid,14,0.011400651465798045
doubledoors,mid,142,0.11563517915309446
doubledoors,outside_long_doors,489,0.3982084690553746
doubledoors,upper_tunnels,78,0.06351791530944625
doubledoors,suicide,36,0.029315960912052116
doubledoors,long_A,2,0.0016286644951140066
doubledoors,catwalk,4,0.003257328990228013
outside_long_doors,t_spawn,1502,0.5028456645463676
outside_long_doors,suicide,173,0.057917643120187476
outside_long_doors,upper_tunnels,191,0.06394375627720121
outside_long_doors,mid,442,0.14797455641111484
outside_long_doors,doubledoors,196,0.06561767659859391
outside_long_doors,outside_tunnels,417,0.13960495480415133
outside_long_doors,long_A,27,0.009039169735520589
outside_long_doors,upper_mid,30,0.010043521928356211
outside_long_doors,catwalk,9,0.003013056578506863
upper_mid,upper_tunnels,14,0.28
upper_mid,mid,7,0.14
upper_mid,outside_tunnels,9,0.18
upper_mid,t_spawn,7,0.14
upper_mid,doubledoors,3,0.06
upper_mid,catwalk,2,0.04
upper_mid,outside_long_doors,8,0.16
long_A,t_spawn,3,0.06976744186046512
long_A,outside_tunnels,10,0.23255813953488372
long_A,outside_long_doors,20,0.46511627906976744
long_A,upper_mid,1,0.023255813953488372
long_A,doubledoors,6,0.13953488372093023
long_A,catwalk,1,0.023255813953488372
long_A,mid,2,0.046511627906976744
catwalk,t_spawn,3,0.15
catwalk,outside_tunnels,5,0.25
catwalk,suicide,1,0.05
catwalk,outside_long_doors,5,0.25
catwalk,upper_tunnels,3,0.15
catwalk,mid,1,0.05
catwalk,doubledoors,2,0.1
lower_tunnels,outside_tunnels,1,1.0
