assistedflash,assister_name,assister_player_name,assister_steamid,attacker_name,attacker_player_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,round_start_time,round_win_status,thrusmoke,tick,user_name,user_player_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,,sjuush,sjuush,76561198160709585,False,False,27.977669,0,30,0,False,left_arm,False,False,0,0,3.25,0,False,24,xfl0ud,xfl0ud,76561198178209109,m4a1,17293822569174597648,28548367661,,0
False,,,,yxngstxr,yxngstxr,76561199137143905,False,False,28.91286,25,285,0,True,head,False,False,0,0,3.25,0,False,38,sjuush,sjuush,76561198160709585,ssg08,17293822569102704680,0,,0
False,sjuush,sjuush,76561198160709585,xKacpersky,xKacpersky,76561198362964332,False,False,50.183628,24,276,0,True,head,False,False,0,0,3.25,0,False,74,yxngstxr,yxngstxr,76561199137143905,ssg08,17293822569143599144,47145380601,,0
False,,,,Alkaren,Alkaren,76561199079856901,False,False,72.36436,1,105,0,False,right_arm,False,False,0,0,3.25,0,False,134,r1nkle,r1nkle,76561198294381090,awp,17293822569181741065,45325844497,,0
False,,,,xKacpersky,xKacpersky,76561198362964332,False,False,47.413864,24,277,0,True,head,False,False,0,0,3.25,0,False,302,Alkaren,Alkaren,76561199079856901,ssg08,17293822569143599144,47145380601,,0
False,,,,sjuush,sjuush,76561198160709585,False,False,12.407141,0,127,0,True,head,False,False,0,0,866.7031,0,False,3074,xfl0ud,xfl0ud,76561198178209109,usp_silencer,17293822569123217469,41435786503,,0
False,,,,ewjerkz,ewjerkz,76561198262460262,False,False,37.894135,0,105,0,True,head,False,False,0,0,866.7031,0,False,4362,LNZ,LNZ,76561198104626893,usp_silencer,17293822569182462013,43813788605,,0
False,,,,ewjerkz,ewjerkz,76561198262460262,False,False,38.808723,0,105,0,True,head,False,False,0,0,866.7031,0,False,4529,Alkaren,Alkaren,76561199079856901,usp_silencer,17293822569182462013,43813788605,,0
True,Alkaren,Alkaren,76561199079856901,nilo,nilo,76561198161056567,False,False,23.971216,0,124,0,True,head,False,False,0,0,866.7031,0,False,4654,r1nkle,r1nkle,76561198294381090,p250,17293822569155985444,23037959499,,0
False,yxngstxr,yxngstxr,76561199137143905,nilo,nilo,76561198161056567,False,False,33.013203,0,115,0,True,head,False,False,0,0,866.7031,0,False,4687,ewjerkz,ewjerkz,76561198262460262,p250,17293822569155985444,23037959499,,0
False,,,,Snappi,Snappi,76561197989423065,False,False,25.272324,0,116,0,True,head,False,False,0,0,866.7031,0,False,4689,nilo,nilo,76561198161056567,usp_silencer,17293822569174925373,29381087466,,0
False,sjuush,sjuush,76561198160709585,xKacpersky,xKacpersky,76561198362964332,False,False,10.68959,0,129,0,True,head,False,False,0,0,866.7031,0,False,5158,yxngstxr,yxngstxr,76561199137143905,usp_silencer,17293822569135734845,47145388035,,0
False,,,,ewjerkz,ewjerkz,76561198262460262,True,False,19.80661,4,19,0,False,right_arm,False,False,0,0,945.2969,0,True,7805,xfl0ud,xfl0ud,76561198178209109,famas,17293822569182593034,44006555976,,0
False,,,,ewjerkz,ewjerkz,76561198262460262,False,False,15.144472,17,80,0,True,head,False,False,0,0,945.2969,0,False,8229,nilo,nilo,76561198161056567,famas,17293822569182593034,44006555976,,0
False,nilo,nilo,76561198161056567,LNZ,LNZ,76561198104626893,False,False,16.883724,1,39,0,False,chest,False,False,0,0,945.2969,0,False,8370,ewjerkz,ewjerkz,76561198262460262,deagle,17293822569105129473,44097834577,,0
False,ewjerkz,ewjerkz,76561198262460262,Snappi,Snappi,76561197989423065,False,False,29.615997,0,114,0,True,head,False,False,0,0,945.2969,0,False,8377,LNZ,LNZ,76561198104626893,m4a1_silencer,17293822569102704700,0,,0
False,,,,Snappi,Snappi,76561197989423065,False,False,40.301945,0,108,0,True,head,False,False,0,0,945.2969,0,False,8531,Alkaren,Alkaren,76561199079856901,m4a1_silencer,17293822569102704700,0,,0
False,,,,yxngstxr,yxngstxr,76561199137143905,False,False,4.5646133,5,110,0,True,head,False,False,0,0,945.2969,0,False,8822,r1nkle,r1nkle,76561198294381090,tec9,17293822569102704670,0,,0
